name,date,bytes,isdir,datenum,Folder,path,Tm,Tn,PC1,PC2
092b47a484c393803cd730b6870c57d7dbdbfc6b.jpg,4/11/16 19:22,247079,FALSE,736431.8072,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/092b47a484c393803cd730b6870c57d7dbdbfc6b.jpg,1823,947,1.1236,-0.01328
094d31e92e64f25c9bc8e008d4a96bee87560fb1.jpg,4/11/16 19:23,257385,FALSE,736431.8078,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/094d31e92e64f25c9bc8e008d4a96bee87560fb1.jpg,1143,947,41.8297,-1.469
09c0661592e4afed7e575b2dd9c0294852d48c15.jpg,4/11/16 19:21,62006,FALSE,736431.8069,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/09c0661592e4afed7e575b2dd9c0294852d48c15.jpg,679,947,-12.9971,-0.31388
09d2cc3a2d82be87522d66743730b32c6eb4e58e.jpg,4/11/16 19:23,130922,FALSE,736431.8081,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/09d2cc3a2d82be87522d66743730b32c6eb4e58e.jpg,749,947,-12.5739,-0.3785
0a9833446e4fa1c7ef530f1fbc60255ad017aed1.jpg,4/11/16 19:22,163128,FALSE,736431.8074,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0a9833446e4fa1c7ef530f1fbc60255ad017aed1.jpg,2497,947,-13.1102,-0.42085
0acf7a56f1af39ace59ee96481e7cb8a95ba63c9.jpg,4/11/16 19:23,49843,FALSE,736431.8077,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0acf7a56f1af39ace59ee96481e7cb8a95ba63c9.jpg,381,947,-12.9276,-0.41888
0aec709459d7c22678a42f8ce377d0d49b0afbb3.jpg,4/11/16 19:22,50067,FALSE,736431.8072,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0aec709459d7c22678a42f8ce377d0d49b0afbb3.jpg,343,947,25.7185,7.2711
0b2f27a431ec8f7cdc9813a9129e945301ef61e6.jpg,4/11/16 19:22,48086,FALSE,736431.8074,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0b2f27a431ec8f7cdc9813a9129e945301ef61e6.jpg,451,947,-13.0135,-0.44735
0b6591fcaef622848a8e4a7f255b9b3e9498d889.jpg,4/11/16 19:22,62017,FALSE,736431.8072,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0b6591fcaef622848a8e4a7f255b9b3e9498d889.jpg,969,947,-13.3418,-0.41824
0b7745e0a693d28e5cc4dbc3f1e1ebefed53431d.jpg,4/11/16 19:23,90117,FALSE,736431.8081,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0b7745e0a693d28e5cc4dbc3f1e1ebefed53431d.jpg,435,947,-11.3261,-0.45805
